City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
406,Ipojuca,BR,-8.40,-35.06,82.31,75,30,10.6,scattered clouds
407,Algiers,DZ,36.75,3.04,57.02,88,40,3.44,scattered clouds
408,Gull Lake,CA,50.10,-108.48,50.36,55,100,15.68,overcast clouds
409,Linhares,BR,-19.39,-40.07,71.69,90,98,7.54,overcast clouds
410,Scottsboro,US,34.67,-86.03,75.04,60,1,6.91,clear sky
411,Srinagar,IN,34.08,74.82,43.95,66,0,1.25,clear sky
412,Birao,CF,10.28,22.79,76.69,43,97,3.15,overcast clouds
413,Foumban,CM,5.73,10.90,64.18,94,100,3.22,overcast clouds
414,Murdochville,CA,48.96,-65.50,34.68,87,9,1.86,clear sky
415,Strezhevoy,RU,60.73,77.59,30.18,92,100,10.47,overcast clouds
416,Thinadhoo,MV,0.53,72.93,83.5,71,98,16.31,overcast clouds
417,Karasjok,NO,69.47,25.51,24.91,96,100,10.56,light snow
418,North Bend,US,43.41,-124.22,55.85,96,90,11.5,overcast clouds
419,Sorong,ID,-0.88,131.25,80.56,80,64,7.16,broken clouds
420,Taoudenni,ML,22.68,-3.98,86.99,17,61,9.4,broken clouds
421,Bedesa,ET,8.90,40.78,62.83,52,46,2.82,scattered clouds
422,Talnakh,RU,69.49,88.40,15.91,95,100,6.33,light snow
423,Nuuk,GL,64.18,-51.72,27.21,54,20,16.11,few clouds
424,Ouango,CF,4.31,22.56,71.13,91,77,0.63,broken clouds
425,Ust-Nera,RU,64.57,143.20,6.94,98,98,2.82,overcast clouds
426,Kautokeino,NO,69.01,23.04,22.86,96,100,5.88,light snow
427,Coihaique,CL,-45.58,-72.07,46.35,81,90,9.22,moderate rain
428,Balkhash,KZ,46.84,74.98,45.01,54,34,4.47,scattered clouds
429,Paamiut,GL,61.99,-49.67,36.79,59,25,10.47,scattered clouds
430,Khandyga,RU,62.67,135.60,21.04,98,99,2.66,overcast clouds
431,Muscle Shoals,US,34.74,-87.67,69.94,70,1,4.0,clear sky
432,Teykovo,RU,56.86,40.54,33.48,80,99,10.83,overcast clouds
433,Santa Isabel Do Para,BR,-1.30,-48.16,78.62,97,75,3.18,moderate rain
434,Honningsvag,NO,70.98,25.97,34.5,77,91,24.47,overcast clouds
435,Porbandar,IN,21.64,69.61,75.72,52,0,7.05,clear sky
436,Lompoc,US,34.64,-120.46,66.42,73,20,14.97,few clouds
437,Mahebourg,MU,-20.41,57.70,71.89,83,75,13.8,broken clouds
438,Cravo Norte,CO,6.30,-70.20,82.35,68,99,6.08,overcast clouds
439,Atikokan,CA,48.76,-91.62,37.24,67,6,5.08,clear sky
440,Yar-Sale,RU,66.83,70.83,18.1,92,91,4.36,overcast clouds
441,Padang,ID,-0.95,100.35,75.25,87,91,3.04,overcast clouds
442,Abengourou,CI,6.73,-3.50,72.55,98,70,1.88,broken clouds
