City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
127,Moron,AR,2021-10-19 18:13:56,-34.6534,-58.6198,78.03,37,2,1.01
128,Saskylakh,RU,2021-10-19 18:11:48,71.9167,114.0833,22.06,97,100,1.5
129,Miri,MY,2021-10-19 18:16:10,4.4148,114.0089,75.34,94,40,3.44
130,Katherine,AU,2021-10-19 18:16:11,-14.4667,132.2667,84.52,58,75,5.75
131,Mogadishu,SO,2021-10-19 18:16:11,2.0371,45.3438,78.87,86,93,8.81
132,Ribeira Grande,PT,2021-10-19 18:13:29,38.5167,-28.7,72.0,68,40,11.5
133,Charters Towers,AU,2021-10-19 18:13:04,-20.1,146.2667,69.37,95,47,5.35
134,Tura,IN,2021-10-19 18:12:23,25.5198,90.2201,71.42,99,100,0.98
135,Nabire,ID,2021-10-19 18:16:13,-3.3667,135.4833,74.7,89,100,3.56
136,Zakopane,PL,2021-10-19 18:16:13,49.299,19.9489,46.98,82,80,5.46
137,Nadym,RU,2021-10-19 18:16:14,65.5333,72.5167,41.85,94,100,17.29
138,Chokurdakh,RU,2021-10-19 18:13:29,70.6333,147.9167,-7.98,96,100,6.42
139,Kruisfontein,ZA,2021-10-19 18:11:40,-34.0033,24.7314,59.88,75,0,12.08
140,Thompson,CA,2021-10-19 18:11:49,55.7435,-97.8558,38.8,60,54,11.56
141,Namibe,AO,2021-10-19 18:12:23,-15.1961,12.1522,66.2,86,27,8.39
142,Great Yarmouth,GB,2021-10-19 18:16:16,52.6083,1.7305,66.45,78,98,20.47
143,Itarema,BR,2021-10-19 18:16:17,-2.9248,-39.9167,86.54,61,40,17.0
144,Ostrovnoy,RU,2021-10-19 18:16:18,68.0531,39.5131,35.37,63,100,23.09
145,Yellowknife,CA,2021-10-19 18:09:17,62.456,-114.3525,44.42,83,52,10.0
146,Ilulissat,GL,2021-10-19 18:14:49,69.2167,-51.1,41.02,30,75,16.11
147,Petropavlovsk-Kamchatskiy,RU,2021-10-19 18:16:21,53.0452,158.6483,30.79,100,90,2.24
148,Stromness,GB,2021-10-19 18:14:14,58.965,-3.296,55.65,93,100,8.01
149,Cabo San Lucas,MX,2021-10-19 18:10:18,22.8909,-109.9124,88.61,57,1,13.8
150,Fortuna,US,2021-10-19 18:14:02,40.5982,-124.1573,61.66,62,1,1.01
151,San Cristobal,VE,2021-10-19 18:14:02,7.7669,-72.225,80.78,49,20,6.67
152,Saint-Philippe,RE,2021-10-19 18:11:07,-21.3585,55.7679,72.99,77,63,7.76
153,Bubaque,GW,2021-10-19 18:13:13,11.2833,-15.8333,83.98,75,94,9.46
154,Iqaluit,CA,2021-10-19 18:13:41,63.7506,-68.5145,36.7,86,100,23.0
155,Gat,IL,2021-10-19 18:12:01,31.61,34.7642,72.28,100,57,4.72
156,Coahuayana,MX,2021-10-19 18:16:23,18.7333,-103.6833,87.28,59,72,4.79
157,Batemans Bay,AU,2021-10-19 18:16:23,-35.7167,150.1833,56.19,91,95,14.72
158,Wakema,MM,2021-10-19 18:16:24,16.6,95.1833,75.45,94,100,4.29
159,Fomboni,KM,2021-10-19 18:16:24,-12.28,43.7425,78.35,71,71,5.64
160,Guerrero Negro,MX,2021-10-19 18:11:43,27.9769,-114.0611,69.93,57,48,15.61
161,Cody,US,2021-10-19 18:16:25,44.5263,-109.0565,43.59,73,90,12.66
162,Albury,AU,2021-10-19 18:15:18,-36.0833,146.9167,47.1,83,0,4.61
163,Rio Pardo,BR,2021-10-19 18:16:25,-29.9897,-52.3781,74.19,41,0,3.22
164,Teguise,ES,2021-10-19 18:13:07,29.0605,-13.564,75.42,65,0,11.5
165,Sioux Lookout,CA,2021-10-19 18:14:56,50.1001,-91.917,44.98,87,75,12.66
166,Vidim,RU,2021-10-19 18:16:26,56.4088,103.1106,33.87,99,97,3.56
167,Airai,TL,2021-10-19 18:11:16,-8.9266,125.4092,62.49,83,82,0.74
168,Mehamn,NO,2021-10-19 18:16:27,71.0357,27.8492,30.11,86,40,6.91
169,Sterling,US,2021-10-19 18:16:27,39.0062,-77.4286,74.23,44,1,1.01
170,Severo-Kurilsk,RU,2021-10-19 18:12:01,50.6789,156.125,39.96,85,84,12.53
171,Faya,SA,2021-10-19 18:16:28,18.3851,42.4509,66.72,24,26,8.93
172,Provideniya,RU,2021-10-19 18:12:46,64.3833,-173.3,32.25,96,100,9.6
173,Kodiak,US,2021-10-19 18:08:57,57.79,-152.4072,44.11,76,90,6.91
174,Hofn,IS,2021-10-19 18:16:29,64.2539,-15.2082,38.12,67,100,22.24
175,Vanderhoof,CA,2021-10-19 18:16:29,54.0166,-124.0198,38.3,77,99,4.56
176,Kyabram,AU,2021-10-19 18:16:30,-36.3167,145.05,43.7,87,0,6.8
177,Ruwi,OM,2021-10-19 18:16:30,23.5996,58.5507,85.69,41,4,7.67
178,Isoka,ZM,2021-10-19 18:16:30,-10.1606,32.6335,73.85,42,85,8.25
179,Alice Springs,AU,2021-10-19 18:16:31,-23.7,133.8833,80.15,34,56,5.75
180,Alugan,PH,2021-10-19 18:16:31,12.2188,125.4808,78.87,85,59,0.87
181,Rundu,NA,2021-10-19 18:16:32,-17.9333,19.7667,81.46,30,65,8.57
